benchmark,problem size,block size,partition mode,kernel iteration,input conversion,kernel execution,output conversion,total time,kernel speedup,total speedup,RMSE%,error rate,error percentage,SSIM,PNSR
sobel_2d,1024,512,cpu,100,1.26832,13.9698,19.7879,35.026,1.00287,1.05469,0,0,0,1,inf,
sobel_2d,1024,512,gpu,100,158.422,58.5713,23.5861,240.58,0.23879,0.153261,0.00118235,2.76149e-05,0.000545502,0.999999,93.7194,
sobel_2d,1024,512,cgt_s,100,150.662,40.6516,30.5626,221.876,0.348916,0.169368,0.191345,0.0549821,0.233876,0.987408,49.5379,
sobel_2d,1024,512,cg_s,100,139.417,60.4703,36.7746,236.662,0.234863,0.156909,0.054645,0.00205209,0.00345325,0.998972,60.4233,
sobel_2d,1024,512,gt_s,100,155.992,59.5479,28.5936,244.133,0.238298,0.151971,0.233726,0.102639,0.461058,0.980968,47.8001,
sobel_2d,1024,512,ct_s,100,17.5776,17.7981,31.4902,66.8659,0.773027,0.547778,0.233725,0.102627,0.460829,0.980969,47.8002,
sobel_2d,1024,512,cgt_b,100,5.22546,41.8521,28.5027,75.5802,0.33177,0.487868,0.191345,0.0549821,0.233876,0.987408,49.5379,
sobel_2d,1024,512,cg_b,100,5.32786,41.8617,29.5015,76.691,0.337574,0.488512,0.054639,0.00203911,0.00319672,0.998973,60.4242,
sobel_2d,1024,512,gt_b,100,5.2616,41.6548,23.0702,69.9867,0.334724,0.531291,0.297077,0.155565,0.691407,0.969137,45.7169,
sobel_2d,1024,512,ct_b,100,5.03613,11.5648,22.6185,39.2194,1.24268,0.950011,0.158825,0.0495165,0.229467,0.991231,51.1559,
sobel_2d,2048,512,cpu,100,6.45086,54.6727,75.7318,136.855,1.21613,1.10371,0,0,0,1,inf,
sobel_2d,2048,512,gpu,100,182.383,106.047,81.9892,370.419,0.619928,0.40556,0.000152937,5.63794e-07,1.35899e-05,1,109.455,
sobel_2d,2048,512,cgt_s,100,216.103,77.253,92.3474,385.703,0.853866,0.389803,0.16087,0.0567919,0.288851,0.979464,49.0156,
sobel_2d,2048,512,cg_s,100,203.907,173.172,108.493,485.572,0.38372,0.310724,0.0661829,0.00336014,0.00357795,0.996543,56.7302,
sobel_2d,2048,512,gt_s,100,250.272,174.324,100.974,525.571,0.381721,0.287409,0.18871,0.0834838,0.455892,0.971547,47.6292,
sobel_2d,2048,512,ct_s,100,114.776,71.6285,90.7611,277.166,0.924959,0.54395,0.18871,0.0834837,0.455889,0.971563,47.6292,
sobel_2d,2048,512,cgt_b,100,31.1992,47.2209,100.497,178.917,1.40381,0.842797,0.162223,0.0616387,0.341706,0.979028,48.9429,
sobel_2d,2048,512,cg_b,100,33.0202,57.9915,98.5661,189.578,1.15902,0.802723,0.0661827,0.00335972,0.00356793,0.996543,56.7303,
sobel_2d,2048,512,gt_b,100,32.8775,99.5685,84.3395,216.785,0.66274,0.696076,0.232667,0.125577,0.683263,0.956251,45.8105,
sobel_2d,2048,512,ct_b,100,33.0379,47.6541,96.2944,176.986,1.40568,0.851528,0.169625,0.0637113,0.342981,0.977102,48.5554,
sobel_2d,2048,1024,cpu,100,6.41502,54.0792,75.6925,136.187,1.23254,1.10141,0,0,0,1,inf,
sobel_2d,2048,1024,gpu,100,180.574,110.032,82.3721,372.978,0.601787,0.404155,0.000152937,5.63794e-07,1.35899e-05,1,109.455,
sobel_2d,2048,1024,cgt_s,100,201.009,60.9435,90.2113,352.164,1.08694,0.428375,0.130645,0.0394456,0.220086,0.986452,50.8233,
sobel_2d,2048,1024,cg_s,100,199.068,98.068,99.6249,396.761,0.666143,0.374869,0.0373927,0.00110691,0.00118017,0.998895,61.6894,
sobel_2d,2048,1024,gt_s,100,226.073,96.5029,87.8182,410.394,0.687122,0.36769,0.160281,0.0724549,0.434486,0.979373,49.0475,
sobel_2d,2048,1024,ct_s,100,71.1985,65.1021,86.6983,222.999,1.0266,0.677998,0.160281,0.0724547,0.43448,0.979372,49.0475,
sobel_2d,2048,1024,cgt_b,100,27.1648,57.1957,93.3604,177.721,1.14553,0.844215,0.130645,0.0394456,0.220086,0.986452,50.8233,
sobel_2d,2048,1024,cg_b,100,27.5818,60.912,92.2522,180.746,1.08354,0.835224,0.130645,0.0394454,0.22008,0.98646,50.8233,
